-0.004828+0.0014722i,-0.003511+0.0026195i,-0.0016465+0.0031271i,0.00030541+0.0022554i,-0.00032982+0.0017118i,-0.0013444+0.0012416i,-0.00068716+0.00038307i,3.3073e-05+0.00049403i,0.00087517+0.0016033i,0.001705+0.0013388i,0.0022511+0.00016757i,0.0013314-0.00057649i,-0.00016519-0.0013966i,-0.00058112-0.0010495i,-0.00022758-0.00040158i,-0.00010231-0.00030494i,-3.4666e-05+0.00017271i,2.3736e-05-0.00069737i,0.00034971-0.0010732i,-1.7114e-05-5.3948e-05i,-0.00018475+0.00071503i,0.00048849+0.00071374i,0.00078063+0.00063494i
0.0011554+0.001042i,0.0016307+0.00030509i,0.0025998-0.000764i,0.0020781-0.0011781i,0.00070256-0.0018516i,-3.3717e-05-0.002003i,-0.00012723-0.0011128i,-0.00073803+0.00021188i,-0.00080371+0.0011062i,-0.00018038+0.0015075i,7.4728e-05+0.0012549i,-0.00023574+0.00050495i,-0.00073316+0.00014633i,-0.00047725-1.7382e-05i,7.5091e-05-1.4132e-05i,3.3062e-05-2.239e-05i,0.00023996-6.4224e-05i,0.00013254-0.00016026i,8.0225e-05-0.00046562i,-0.00018097+0.00038902i,-0.00062869+0.0011407i,6.3811e-05+0.00071167i,0.0010893+0.0010151i
0.0025566+0.0011496i,0.0023029+0.00029435i,0.0026594-0.0003867i,0.0027752-0.0008781i,0.001585-0.0022078i,0.00056097-0.0022712i,1.0198e-05-0.00085567i,-0.00066929+0.0004928i,-0.00069985+0.0012974i,-0.00033071+0.0015775i,-0.00033362+0.0012124i,-0.00066764+0.00062075i,-0.0011145+0.00056655i,-0.00079142+0.00047297i,-0.00014646+0.00021692i,-0.00020139+0.00082903i,-0.00010461+0.00066136i,0.0006982+0.00010162i,0.00092327+0.00034357i,0.00075546+0.00024805i,0.00056936+8.6737e-05i,0.00065728-0.00012675i,0.0006332-0.00043263i
-0.0024006+0.00046655i,-0.0014595+0.00051253i,-0.0008717+0.00084861i,0.00018955+0.00092916i,0.00098092+0.00070311i,0.00052897-0.00017029i,0.00014747-0.00091383i,-0.00014427+2.4936e-05i,-0.00022468+0.00095645i,0.00019483+0.00066228i,0.0012311+0.00094472i,0.0015893+0.0015442i,0.0010504+0.0010141i,0.00058277+0.00038829i,0.00039801+0.00045213i,-0.00016021+0.00020725i,-0.00012337+0.00010351i,0.00040307+0.00050891i,-0.00012465+0.00061021i,-0.00023887+0.00072536i,7.1363e-05+0.00095357i,0.00068067+0.00025777i,0.0013266-0.00097013i
0.00015392+0.0018179i,0.00060556+0.0017436i,0.00031205-0.00026423i,0.00030921-0.0012257i,0.00060849-0.00087604i,0.00065486-0.00069027i,0.00052025-0.00057989i,0.0001732-0.00079434i,0.00018031-4.3551e-05i,0.00032953+0.0011017i,0.00093488+0.00072047i,0.00091167-0.00041644i,0.00061972-0.00054392i,0.0010029+0.00015488i,0.0010201+0.00055454i,0.0010184+0.0010875i,0.00049656+0.0014378i,0.00041405+0.00054661i,0.00062141-0.00038056i,0.00072814+0.00015287i,0.00078911+0.0010332i,0.00071291+0.00066706i,0.00085689+0.00069014i
-0.0019831+0.0013065i,-0.00089442+0.00086656i,0.0007127+0.0018211i,0.0019388+0.0016921i,0.0018352-0.00011893i,0.00095647-0.0019005i,0.00048455-0.0010854i,0.00010928-0.00015168i,0.00015036+9.539e-05i,0.0005047+0.0005084i,0.00050295+0.00020426i,6.0687e-05-0.00023314i,-0.00042153+8.6222e-05i,-0.00051578+0.00052321i,-0.00023911+0.0005691i,-0.00067232+0.00021954i,-0.00097373-0.00051432i,-7.906e-05-0.00062874i,0.000301-0.00027748i,-2.5963e-05-0.00043258i,0.00055982-0.00087502i,0.00058237-0.00036764i,0.00031747+0.00083714i
-0.0022029+0.00026057i,-0.0013047+0.00046442i,-0.00056812+0.00085272i,0.00023383+0.0008121i,0.0009314+0.00067344i,0.0016259+6.9098e-05i,0.0016062+0.00032724i,0.00057975+0.00093278i,0.00025184+0.0011606i,0.00056143+0.0011649i,0.0006708+0.000546i,-0.00013006-0.00035434i,-0.0004892-0.00077726i,0.00013276-0.00039255i,3.1061e-05-8.3454e-05i,-0.00063004-7.294e-05i,-0.0013873+0.00018807i,-0.0011313+0.00064242i,0.00011003-7.302e-06i,0.00081923+0.0001158i,0.00033494+0.00064956i,-0.00058889+0.00045925i,-0.00099692+5.0314e-05i
-0.0011122-0.00066937i,-0.0004213+0.0003066i,-0.00089943-1.1448e-05i,-0.00097547+0.00019768i,-0.00031794-0.00026112i,0.00028344-0.00067425i,4.9161e-05-0.00030677i,-0.00047394-0.00070634i,-0.00015922-0.00062932i,-1.6232e-05+0.00056214i,-0.00011632+0.00086289i,0.00071265+0.00071205i,0.0010637+0.00029671i,0.00060221+0.0004466i,0.00018263+0.00055149i,5.321e-05-0.00050898i,-0.00021817-0.00062271i,0.00056914-6.2041e-05i,0.0010579-0.00035304i,0.00015795-0.00069264i,0.00025534-0.00016974i,0.00087256+0.00050033i,0.00051218+0.00016612i
0.00083945-0.0012032i,0.0014116-0.00040353i,0.0018028+0.00035682i,0.0010734+0.00088518i,0.0004331+0.0008137i,0.00058346+3.6995e-05i,0.00097443-0.00022223i,0.00039395+0.00066798i,-0.00037273+0.0011985i,0.00038481+0.00099747i,0.00096326+0.0012005i,0.00050843+0.00082252i,0.00053272+0.00046785i,0.00041464+0.00076482i,-0.00026992-6.5864e-05i,-0.00087434-0.00050158i,-0.00062573+0.00012385i,-0.00078724+0.00038912i,-0.0012616-0.00037784i,-0.00019999-0.00026836i,0.00062654+0.00082022i,0.00048643+0.0011253i,-5.9069e-05+0.00052068i
-0.00016616+0.0022172i,0.001308+0.0024482i,0.0030427+0.0019043i,0.0036946+9.9898e-05i,0.0023739-0.0014555i,0.0010041-0.0020849i,-0.00020204-0.0010989i,-0.0014863+0.00030692i,-0.0010445+0.00093781i,0.00032508+0.00044635i,0.00055024+0.00010077i,0.00017985+0.00051892i,-0.00022317+0.0012257i,-0.0001661+0.001372i,0.00050185+0.00030639i,0.00056425-9.6092e-05i,0.00049229-2.3731e-05i,0.00050244-0.00030538i,-0.0004649-0.00045024i,-0.00061145-0.00025529i,0.00015604+0.0002505i,0.00023436+0.00072066i,-0.00028443+0.00047099i
0.00050723-0.001772i,0.00045852-0.0019932i,-0.00046014-0.0017642i,-0.0010408-0.001413i,-0.0012812-0.0011811i,-0.00097245-0.0010374i,-0.00064787-0.00035035i,-0.00051243+0.0012507i,-0.00045952+0.0010822i,5.3118e-05-0.00021272i,0.00032855-0.0004052i,7.8782e-05+0.00028371i,-0.0001294+0.00016737i,9.8292e-06-0.00072187i,0.00014225-0.001072i,-0.00043188-0.00083877i,-0.00033809-0.00017597i,0.00065813+0.00074311i,0.00018842+0.00070544i,-0.00012717+0.00033041i,0.00041425+0.00045755i,0.00036713+0.0001599i,0.0002427-0.00050471i
